LOCATION,TIME,Value,GDP_PER_CAP
IDN,2000,6.754688757405972,5853.501051
IDN,2001,7.029156798984492,5975.937289
IDN,2002,7.948383322886514,6151.322934000001
IDN,2003,8.170277773277999,6348.877668
IDN,2004,7.522544769337794,6568.439232
IDN,2005,6.771647440608775,6838.410223000001
IDN,2006,7.594097028210489,7106.567129999999
IDN,2007,7.61766308254041,7444.326912
IDN,2008,7.742119800655208,7773.843626000001
IDN,2009,7.955652344167965,8017.484976999999
IDN,2010,8.482945011889603,8401.653869
IDN,2011,8.911123605879448,8792.040097
IDN,2012,9.03469915745939,9191.748888
IDN,2013,9.536791282308075,9570.253883
IDN,2014,9.863837409220999,9916.030306
IDN,2015,10.120200655554214,10265.35469
IDN,2016,11.232678562528527,10646.84647
IDN,2017,11.017707182601793,11050.28343
IDN,2018,10.999146871287321,11484.70906
IND,1997,2.977903511758402,2155.646314
IND,1998,3.0103716960499636,2244.1411789999997
IND,1999,3.0149063058049688,2357.779421
IND,2000,2.9655808303721694,2449.7782420000003
IND,2001,3.006437627141671,2502.683649
IND,2002,3.059943892282019,2574.024715
IND,2003,3.041604105575762,2706.254702
IND,2004,3.069135436922544,2874.005768
IND,2005,3.05621897973044,3090.4828420000003
IND,2006,3.0929013805846113,3332.550482
IND,2007,3.2510630120689377,3616.818539
IND,2008,3.289819460193618,3787.338231
IND,2009,3.391548611071353,3923.731129
IND,2010,3.3022469208074514,4265.4691729999995
IND,2011,3.279410305525391,4539.087374000001
IND,2012,3.294530984900689,4704.820764
IND,2013,3.150729045117984,4929.17435
IND,2014,3.1316587229969333,5205.807279
IND,2015,3.3379128343722453,5525.427789
IND,2016,3.413168698038996,5932.5786880000005
IND,2017,3.399346799611788,6269.522915
ISR,1990,46.99869108384344,19511.06047
ISR,1991,50.93560911866783,20239.33209
ISR,1992,51.032273626919725,21023.173880000002
ISR,1993,53.07397181081633,21117.42155
ISR,1994,58.6694758757467,21906.33142
ISR,1995,55.80502187120692,22572.82201
ISR,1996,57.1306254703077,23118.70146
ISR,1997,57.61406387877784,23455.49531
ISR,1998,56.65702984702054,23846.03802
ISR,1999,56.84364800184953,24055.63125
ISR,2000,78.76392643558755,25495.724580000002
ISR,2001,81.61222166870255,24928.03124
ISR,2002,84.06916436385156,24381.477909999998
ISR,2003,82.89115489537097,24199.4578
ISR,2004,84.12588627925665,24947.9413
ISR,2005,84.0771841172016,25516.18981
ISR,2006,91.47805938827108,26504.956000000002
ISR,2007,88.26749323015878,27594.08617
ISR,2008,90.47396756933858,27957.08001
ISR,2009,84.91112732605413,27832.75241
ISR,2010,86.68472502134352,28840.02884
ISR,2011,86.38190594766779,29769.51574
ISR,2012,87.32558168284072,29874.03745
ISR,2013,82.20212939184233,30578.274719999998
ISR,2014,83.59430466918587,31169.401789999996
ISR,2015,87.60997050304485,31345.40593
ISR,2016,91.15319890584145,31967.07398
ISR,2017,89.9082449653664,32442.54354
ISR,2018,88.29916136295492,32867.65649
JPN,1990,32.33222530773829,29911.999219999998
JPN,1991,32.00099102185737,30812.100169999998
JPN,1992,32.64564092324644,30957.16388
JPN,1993,32.80886558708506,30705.380230000002
JPN,1994,34.01601344055361,30966.1873
JPN,1995,34.576283826663406,31734.159480000002
JPN,1996,35.110866575419884,32646.34588
JPN,1997,33.82757937166486,32919.076389999995
JPN,1998,33.14572485184153,32460.5452
JPN,1999,33.396168207163065,32317.8832
JPN,2000,35.10858588764758,33152.2997
JPN,2001,34.20698525661667,33208.198469999996
JPN,2002,34.57078607480157,33177.4422
JPN,2003,34.015596377917525,33622.71056
JPN,2004,34.72334025850146,34337.08361
JPN,2005,34.69833695587872,34902.25806
JPN,2006,33.92261854457738,35374.89002
JPN,2007,34.392913516039904,35920.15633
JPN,2008,34.48706501305415,35509.31994
JPN,2009,34.59977274512516,33588.87412
JPN,2010,35.546834687392895,34994.372260000004
JPN,2011,35.748109324473944,35011.95035
JPN,2012,36.55254566171211,35613.138510000004
JPN,2013,36.3825255232064,36387.97288
JPN,2014,36.793443614071144,36544.70278
JPN,2015,37.37729042140348,37035.85076
JPN,2016,38.17353205674795,37313.3923
JPN,2017,40.25413361004553,38101.21518
JPN,2018,40.68809383753433,38481.31413
KOR,1990,5.762293535614492,11637.72421
KOR,1991,21.921429131140798,12716.02951
KOR,1992,26.811700919547913,13361.81446
KOR,1993,26.7428188364173,14132.2657
